"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date"
3,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0190018,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
1,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010688,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0011121,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0052695,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0052603,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0009537,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.000925,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:26
1,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0019308,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
1,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0017434,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
1,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0054712,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
1,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0203204,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
2,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0009672,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
2,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.000827,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
2,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.004415,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
2,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0046542,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:27
2,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0011334,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
2,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.000858,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
2,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0015632,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
2,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0015027,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
2,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0054743,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
2,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0207221,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
3,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010651,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
3,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0011828,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:28
3,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.004928,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0047636,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0009447,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0009036,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0021705,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0014869,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0046726,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
3,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0192119,"Benchmark Resul","619382db1d3057bd04c3ee981990fe579227b477",2020-05-07 16:39:15,2020-05-07 17:36:29
1,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010906,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0013245,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0046564,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0044455,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0009743,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0010022,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0014251,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0015375,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0044951,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
1,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.019796,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:30
2,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0009124,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0008346,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0056472,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0047522,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0010417,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0010289,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
2,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.001693,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 17:36:31
